dataset_id,method,family,claim_gate,boundary_shift,gate_pass,component_count,limiting_margin,components,n_definition,baseline_pass,unchanged_from_baseline,decision_change
pbmc3k,GLM-PCA,factor,global_geometry_gate,-0.025,True,1,0.1056042454,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,scScope,deep,global_geometry_gate,-0.025,False,1,-0.1609395585,global_rank_corr,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,SAUCIE,deep,global_geometry_gate,-0.025,True,1,0.2147636671,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,UMAP,graph,global_geometry_gate,-0.025,True,1,0.09968268428,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PHATE,graph,global_geometry_gate,-0.025,True,1,0.1212702858,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,t-SNE,relational,global_geometry_gate,-0.025,True,1,0.1625265287,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PaCMAP,relational,global_geometry_gate,-0.025,True,1,0.206109789,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PCA,factor,global_geometry_gate,-0.025,True,1,0.2724668149,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,GLM-PCA,factor,global_geometry_gate,-0.025,True,1,0.2280593231,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,scScope,deep,global_geometry_gate,-0.025,True,1,0.1197585904,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,SAUCIE,deep,global_geometry_gate,-0.025,True,1,0.1463198126,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,UMAP,graph,global_geometry_gate,-0.025,True,1,0.213040125,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PHATE,graph,global_geometry_gate,-0.025,True,1,0.1763020684,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,t-SNE,relational,global_geometry_gate,-0.025,True,1,0.1966594589,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PaCMAP,relational,global_geometry_gate,-0.025,True,1,0.2582359127,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PCA,factor,global_geometry_gate,-0.025,True,1,0.3135727893,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,GLM-PCA,factor,global_geometry_gate,-0.025,True,1,0.09236442636,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,scScope,deep,global_geometry_gate,-0.025,False,1,-0.09662812735,global_rank_corr,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,SAUCIE,deep,global_geometry_gate,-0.025,True,1,0.07278152761,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
