scenario,replicate,method,family,seed,n_metrics,fraction_pass,mean_threshold_margin,minimum_threshold_margin,n_definition
nonlinear_manifold,4,PaCMAP,relational,2004,5,0.6,0.1597797199,-0.1541666667,one method-scenario-generated-dataset run
nonlinear_manifold,4,SAUCIE,deep,2004,5,0.6,0.1973920374,-0.1575,one method-scenario-generated-dataset run
nonlinear_manifold,4,UMAP,graph,2004,5,0.6,0.106921528,-0.1891666667,one method-scenario-generated-dataset run
nonlinear_manifold,4,scScope,deep,2004,5,0.6,0.03155769821,-0.1812962963,one method-scenario-generated-dataset run
nonlinear_manifold,4,t-SNE,relational,2004,5,0.6,0.08167301353,-0.1901851852,one method-scenario-generated-dataset run
rare_population,0,GLM-PCA,factor,6000,5,0.8,0.2738082709,-0.09296296296,one method-scenario-generated-dataset run
rare_population,0,PCA,factor,6000,5,0.8,0.2569568384,-0.1312962963,one method-scenario-generated-dataset run
rare_population,0,PHATE,graph,6000,5,0.6,0.2329298616,-0.1784259259,one method-scenario-generated-dataset run
rare_population,0,PaCMAP,relational,6000,5,0.6,0.2167917059,-0.2125,one method-scenario-generated-dataset run
rare_population,0,SAUCIE,deep,6000,5,0.6,0.1562926657,-0.1530555556,one method-scenario-generated-dataset run
rare_population,0,UMAP,graph,6000,5,0.6,0.2036953475,-0.2076851852,one method-scenario-generated-dataset run
rare_population,0,scScope,deep,6000,5,0.6,0.1970772325,-0.1928703704,one method-scenario-generated-dataset run
rare_population,0,t-SNE,relational,6000,5,0.6,0.2058560543,-0.2058333333,one method-scenario-generated-dataset run
rare_population,1,GLM-PCA,factor,6001,5,0.8,0.2608102045,-0.1192592593,one method-scenario-generated-dataset run
rare_population,1,PCA,factor,6001,5,0.8,0.2484773806,-0.1422222222,one method-scenario-generated-dataset run
rare_population,1,PHATE,graph,6001,5,0.6,0.2331559216,-0.1853703704,one method-scenario-generated-dataset run
rare_population,1,PaCMAP,relational,6001,5,0.6,0.2192972716,-0.2060185185,one method-scenario-generated-dataset run
rare_population,1,SAUCIE,deep,6001,5,0.8,0.2118147714,-0.155462963,one method-scenario-generated-dataset run
rare_population,1,UMAP,graph,6001,5,0.6,0.2051226389,-0.2093518519,one method-scenario-generated-dataset run
rare_population,1,scScope,deep,6001,5,0.6,0.1769872703,-0.2062962963,one method-scenario-generated-dataset run
rare_population,1,t-SNE,relational,6001,5,0.6,0.2057945093,-0.2009259259,one method-scenario-generated-dataset run
rare_population,2,GLM-PCA,factor,6002,5,0.8,0.2595841123,-0.1167592593,one method-scenario-generated-dataset run
rare_population,2,PCA,factor,6002,5,0.8,0.2309681868,-0.1465740741,one method-scenario-generated-dataset run
rare_population,2,PHATE,graph,6002,5,0.6,0.2143572336,-0.1874074074,one method-scenario-generated-dataset run
rare_population,2,PaCMAP,relational,6002,5,0.6,0.1656654217,-0.2103703704,one method-scenario-generated-dataset run
rare_population,2,SAUCIE,deep,6002,5,0.6,0.2266914928,-0.1546296296,one method-scenario-generated-dataset run
rare_population,2,UMAP,graph,6002,5,0.6,0.1763505935,-0.2092592593,one method-scenario-generated-dataset run
rare_population,2,scScope,deep,6002,5,0.6,0.1861256895,-0.1885185185,one method-scenario-generated-dataset run
rare_population,2,t-SNE,relational,6002,5,0.6,0.1839109486,-0.2056481481,one method-scenario-generated-dataset run
rare_population,3,GLM-PCA,factor,6003,5,0.8,0.2740911123,-0.0912037037,one method-scenario-generated-dataset run
rare_population,3,PCA,factor,6003,5,0.8,0.2561601378,-0.1263888889,one method-scenario-generated-dataset run
rare_population,3,PHATE,graph,6003,5,0.6,0.232845446,-0.1762962963,one method-scenario-generated-dataset run
rare_population,3,PaCMAP,relational,6003,5,0.6,0.2172407632,-0.2060185185,one method-scenario-generated-dataset run
rare_population,3,SAUCIE,deep,6003,5,0.8,0.2370394149,-0.1132407407,one method-scenario-generated-dataset run
rare_population,3,UMAP,graph,6003,5,0.6,0.2111287506,-0.21,one method-scenario-generated-dataset run
rare_population,3,scScope,deep,6003,5,0.6,0.2110763851,-0.185462963,one method-scenario-generated-dataset run
rare_population,3,t-SNE,relational,6003,5,0.6,0.2104398963,-0.2018518519,one method-scenario-generated-dataset run
rare_population,4,GLM-PCA,factor,6004,5,0.8,0.2689908669,-0.1080555556,one method-scenario-generated-dataset run
rare_population,4,PCA,factor,6004,5,0.8,0.2495303622,-0.1442592593,one method-scenario-generated-dataset run
rare_population,4,PHATE,graph,6004,5,0.6,0.2340417551,-0.1822222222,one method-scenario-generated-dataset run
rare_population,4,PaCMAP,relational,6004,5,0.6,0.2147548241,-0.2062962963,one method-scenario-generated-dataset run
rare_population,4,SAUCIE,deep,6004,5,0.8,0.2256622639,-0.1385185185,one method-scenario-generated-dataset run
rare_population,4,UMAP,graph,6004,5,0.6,0.180410349,-0.2124074074,one method-scenario-generated-dataset run
rare_population,4,scScope,deep,6004,5,0.6,0.1855406929,-0.1991666667,one method-scenario-generated-dataset run
rare_population,4,t-SNE,relational,6004,5,0.6,0.1919107214,-0.2014814815,one method-scenario-generated-dataset run
