dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,relative_threshold_margin,dataset_label,metric_label,column_label,value_definition
paul15,UMAP,graph,0,global_rank_corr,0.638040125,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.4178669444,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,UMAP,graph,0,label_neighbor_recall,0.5073015873,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,-0.07763347763,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,UMAP,graph,0,local_retention,0.25995,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.1335,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,UMAP,graph,0,trustworthiness,0.966972006,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.07441333997,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,UMAP,graph,0,global_rank_corr,0.303397913,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,-0.3257824155,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,UMAP,graph,0,label_neighbor_recall,0.950725,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.7285909091,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PHATE,graph,0,local_retention,0.09004296184,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.6998567939,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PHATE,graph,0,trustworthiness,0.8324795181,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.07502275766,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PHATE,graph,0,global_rank_corr,0.5462702858,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.2139339684,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,PHATE,graph,0,label_neighbor_recall,0.9274703058,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.6863096469,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,PHATE,graph,0,local_retention,0.0915995116,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.6946682947,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,PHATE,graph,0,trustworthiness,0.8578531037,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.04682988481,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
paul15,PHATE,graph,0,global_rank_corr,0.6013020684,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.3362268188,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,PHATE,graph,0,label_neighbor_recall,0.3783882784,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,-0.312021312,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PHATE,graph,0,local_retention,0.2033416667,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.3221944444,Heart atlas,Local,Heart atlas | Local,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PHATE,graph,0,trustworthiness,0.9445504743,15,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.04950052698,Heart atlas,Trust,Heart atlas | Trust,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PHATE,graph,0,global_rank_corr,0.5349083992,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.1886853316,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,PHATE,graph,0,label_neighbor_recall,0.9380083333,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.705469697,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
pbmc3k,t-SNE,relational,0,local_retention,0.2161233258,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.2795889142,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,t-SNE,relational,0,trustworthiness,0.8904914833,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.01056501861,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,t-SNE,relational,0,global_rank_corr,0.5875265287,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.3056145081,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,t-SNE,relational,0,label_neighbor_recall,0.9145564822,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.6628299676,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,t-SNE,relational,0,local_retention,0.3063736264,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,0.02124542125,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,t-SNE,relational,0,trustworthiness,0.9395209002,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,0.04391211137,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
paul15,t-SNE,relational,0,global_rank_corr,0.6216594589,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.3814654642,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,t-SNE,relational,0,label_neighbor_recall,0.5228327228,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,-0.0493950494,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
