dataset_id,method,navigation_group,reference_pca_dimensions,k,local_retention,analytic_random_expectation,normalised_excess_overlap,fixed_operational_boundary,meets_boundary,evaluation_cells,n_definition
pbmc3k,scScope,deep,20,15,0.09353333333,0.01501501502,0.0797152439,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,20,15,0.2018666667,0.01501501502,0.1897,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,20,15,0.2283333333,0.01501501502,0.216570122,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,20,15,0.1922666667,0.01501501502,0.1799536585,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,20,15,0.2463333333,0.01501501502,0.2348445122,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,20,15,0.2508,0.01501501502,0.2393792683,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,20,30,0.2325333333,0.03003003003,0.2087727554,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,20,30,0.1813333333,0.03003003003,0.1559876161,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,20,30,0.149,0.03003003003,0.1226532508,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,20,30,0.3023666667,0.03003003003,0.2807681115,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,20,30,0.3313666667,0.03003003003,0.3106659443,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,20,30,0.2777666667,0.03003003003,0.2554065015,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,20,30,0.3273333333,0.03003003003,0.3065077399,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,20,30,0.3578666667,0.03003003003,0.3379863777,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,20,50,0.31968,0.05005005005,0.2838359536,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,20,50,0.27548,0.05005005005,0.2373071865,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,20,50,0.2181,0.05005005005,0.1769040042,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,20,50,0.40028,0.05005005005,0.368682529,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,20,50,0.42918,0.05005005005,0.3991051844,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,20,50,0.36382,0.05005005005,0.3303015595,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,20,50,0.41214,0.05005005005,0.3811673973,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,20,50,0.453,0.05005005005,0.4241801897,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,50,5,0.0468,0.005005005005,0.04200523139,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,50,5,0.0422,0.005005005005,0.03738209256,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,50,5,0.0394,0.005005005005,0.03456800805,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
