method,family,scenario,scenario_label,metric,metric_label,column_label,claim_axis,threshold,value,value_sd_across_generated_datasets,value_minimum,value_maximum,relative_threshold_margin,relative_margin_minimum,relative_margin_maximum,n_generated_datasets,n_cells_per_generated_dataset,value_definition
GLM-PCA,factor,batch_shift,Batch,batch_entropy_norm,Batch mix,Batch | Batch mix,batch_biology_tradeoff,0.65,0.6854096552,0.142074651,0.5167354763,0.8820109332,0.05447639268,-0.2050223442,0.3569398973,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,branching_trajectory,Branch,truth_trustworthiness,Trust,Branch | Trust,truth_geometry,0.9,0.8097288113,0.02179428516,0.7799804719,0.8357673096,-0.1003013208,-0.1333550313,-0.07136965596,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,dropout_stress,Dropout,label_neighbor_recall,Same-label,Dropout | Same-label,cell_state_support,0.55,0.993462963,0.00143533452,0.9913888889,0.9951851852,0.8062962963,0.8025252525,0.8094276094,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,dropout_stress,Dropout,latent_distance_corr,Geometry,Dropout | Geometry,truth_geometry,0.45,0.8954232073,0.009887279622,0.882703892,0.9073802391,0.9898293495,0.9615642044,1.016400531,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,dropout_stress,Dropout,truth_local_retention,Local,Dropout | Local,truth_geometry,0.3,0.1326851852,0.01192972104,0.1173148148,0.1481481481,-0.5577160494,-0.6089506173,-0.5061728395,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,dropout_stress,Dropout,truth_trustworthiness,Trust,Dropout | Trust,truth_geometry,0.9,0.89917392,0.005011512229,0.890884877,0.9033713269,-0.000917866695,-0.01012791446,0.003745918723,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,linear_low_rank,Linear,label_neighbor_recall,Same-label,Linear | Same-label,cell_state_support,0.55,0.9971851852,0.002104929221,0.9944444444,0.9992592593,0.8130639731,0.8080808081,0.8168350168,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,linear_low_rank,Linear,latent_distance_corr,Geometry,Linear | Geometry,truth_geometry,0.45,0.9104080358,0.009983871448,0.8935555933,0.9187742192,1.023128969,0.9856790962,1.041720487,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,linear_low_rank,Linear,truth_local_retention,Local,Linear | Local,truth_geometry,0.3,0.1512777778,0.007958762889,0.1407407407,0.1612037037,-0.4957407407,-0.5308641975,-0.462654321,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,linear_low_rank,Linear,truth_trustworthiness,Trust,Linear | Trust,truth_geometry,0.9,0.9095466815,0.003448684187,0.9056974334,0.9145853924,0.01060742394,0.006330481605,0.01620599158,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
PCA,factor,nonlinear_manifold,Nonlinear,label_neighbor_recall,Same-label,Nonlinear | Same-label,cell_state_support,0.55,0.8567222222,0.02424596752,0.8299074074,0.8826851852,0.5576767677,0.5089225589,0.6048821549,5,720,mean continuous known-truth metric across five independently generated datasets; no pass-fraction aggregation
